va,pa,s,imc,ch,d,r,bg,ba,row,col
0x00007d762f7ec800,0x0000000441d81800,0,0,0,0,0,2,2,14396,96
0x00007d762f7ec880,0x0000000441d81880,0,0,0,0,0,2,2,14396,104
0x00007d762f7ecc00,0x0000000441d81c00,0,0,0,0,0,2,2,14396,112
0x00007d762f7ecc80,0x0000000441d81c80,0,0,0,0,0,2,2,14396,120
0x00007d762f814000,0x0000000441d83000,0,0,0,0,0,2,2,14396,192
0x00007d762f814080,0x0000000441d83080,0,0,0,0,0,2,2,14396,200
0x00007d762f814400,0x0000000441d83400,0,0,0,0,0,2,2,14396,208
0x00007d762f814480,0x0000000441d83480,0,0,0,0,0,2,2,14396,216
0x00007d762f814800,0x0000000441d83800,0,0,0,0,0,2,2,14396,224
0x00007d762f814880,0x0000000441d83880,0,0,0,0,0,2,2,14396,232
0x00007d762f814c00,0x0000000441d83c00,0,0,0,0,0,2,2,14396,240
0x00007d762f814c80,0x0000000441d83c80,0,0,0,0,0,2,2,14396,248
0x00007d762f759000,0x0000000441d84000,0,0,0,0,0,2,2,14396,256
0x00007d762f759080,0x0000000441d84080,0,0,0,0,0,2,2,14396,264
0x00007d762f759400,0x0000000441d84400,0,0,0,0,0,2,2,14396,272
0x00007d762f759480,0x0000000441d84480,0,0,0,0,0,2,2,14396,280
0x00007d762f759800,0x0000000441d84800,0,0,0,0,0,2,2,14396,288
0x00007d762f759880,0x0000000441d84880,0,0,0,0,0,2,2,14396,296
0x00007d762f759c00,0x0000000441d84c00,0,0,0,0,0,2,2,14396,304
0x00007d762f759c80,0x0000000441d84c80,0,0,0,0,0,2,2,14396,312
0x00007d762f7c4000,0x0000000441d85000,0,0,0,0,0,2,2,14396,320
0x00007d762f7c4080,0x0000000441d85080,0,0,0,0,0,2,2,14396,328
0x00007d762f7c4400,0x0000000441d85400,0,0,0,0,0,2,2,14396,336
0x00007d762f7c4480,0x0000000441d85480,0,0,0,0,0,2,2,14396,344
0x00007d762f7c4800,0x0000000441d85800,0,0,0,0,0,2,2,14396,352
0x00007d762f7c4880,0x0000000441d85880,0,0,0,0,0,2,2,14396,360
0x00007d762f7c4c00,0x0000000441d85c00,0,0,0,0,0,2,2,14396,368
0x00007d762f7c4c80,0x0000000441d85c80,0,0,0,0,0,2,2,14396,376
0x00007d762f832000,0x0000000441d86000,0,0,0,0,0,2,2,14396,384
0x00007d762f832080,0x0000000441d86080,0,0,0,0,0,2,2,14396,392
0x00007d762f832400,0x0000000441d86400,0,0,0,0,0,2,2,14396,400
